time,closing
2013-12-04,506.28
2013-12-05,506.32
2013-12-06,506.32
2013-12-09,502.23
2013-12-10,497.72
2013-12-11,494.78
2013-12-12,495.64
2013-12-13,494.36
2013-12-16,488.19
2013-12-17,486.15
2013-12-18,485.65
2013-12-19,484.17
2013-12-20,488.41
2013-12-23,489.63
2013-12-24,491.08
2013-12-26,488.87
2013-12-27,496.77
2013-12-30,499.99
2014-01-02,496.28
2014-01-03,499.33
2014-01-06,500.62
2014-01-07,504.86
2014-01-08,509.78
2014-01-09,511.6
2014-01-10,510.19
2014-01-13,512.92
2014-01-14,512.27
2014-01-15,515.97
2014-01-16,517.83
2014-01-17,518.1
2014-01-20,519.99
2014-01-21,520.99
2014-01-22,523.07
2014-01-23,522.72
2014-01-24,520.31
2014-01-27,507.51
2014-01-28,509.29
2014-01-29,515.2
2014-02-03,513.62
2014-02-04,507.56
2014-02-05,505.62
2014-02-06,509.87
2014-02-07,514.45
2014-02-10,518.47
2014-02-11,518.9
2014-02-12,520.64
2014-02-13,521.82
2014-02-14,522.58
2014-02-17,522
2014-02-18,525.42
2014-02-19,529.87
2014-02-20,525.69
2014-02-21,528.51
2014-02-24,526.34
2014-02-25,528.61
2014-02-26,529.23
2014-02-27,528.37
2014-02-28,528.96
2014-03-03,529.86
2014-03-04,531.54
2014-03-05,536.77
2014-03-06,540.33
2014-03-07,543.76
2014-03-10,542.19
2014-03-11,547.68
2014-03-12,539.3
2014-03-13,547.51
2014-03-14,544.27
2014-03-17,535.82
2014-03-18,541.15
2014-03-19,542.25
2014-03-20,541.79
2014-03-21,546.81
2014-03-24,545.6
2014-03-25,539.05
2014-03-26,544.13
2014-03-27,541.46
2014-03-28,544.1
2014-03-31,541.58
2014-04-01,549.08
2014-04-02,557.65
2014-04-03,557.01
2014-04-04,560.44
2014-04-07,554.23
2014-04-08,554.07
2014-04-09,552.22
2014-04-10,555.1
2014-04-11,555.87
2014-04-14,562.04
2014-04-15,562.11
2014-04-16,565.96
2014-04-17,565.75
2014-04-18,571.23
2014-04-21,569.28
2014-04-22,570.98
2014-04-23,565.47
2014-04-24,561.12
2014-04-25,556.48
